coef0,gamma,C,degree,Training Data, Validation Data,,,
100,0.1,1,4,99.94897959,68.28793774,,,
100,1,1,4,99.94897959,68.6770428,,,
100,10,1,4,99.48979592,68.6770428,,,
0.001,0.001,10,1,93.31632653,66.14785992,,,
0.001,0.01,10,1,99.59183673,65.95330739,,,
0.001,0.1,10,1,99.84693878,65.95330739,,,
0.001,1,10,1,99.94897959,65.95330739,,,
0.001,10,10,1,99.94897959,65.95330739,,,
0.001,100,10,1,99.94897959,65.95330739,,,
0.001,0.001,10,2,97.29591837,67.89883268,,,
0.001,0.01,10,2,99.94897959,68.09338521,,,
0.001,0.1,10,2,99.94897959,68.09338521,,,
0.001,1,10,2,99.94897959,68.09338521,,,
0.001,10,10,2,99.94897959,68.09338521,,,
0.001,100,10,2,99.94897959,68.09338521,,,
0.001,0.001,10,3,98.62244898,68.28793774,,,
0.001,0.01,10,3,99.94897959,68.87159533,,,
0.001,0.1,10,3,99.94897959,68.87159533,,,
0.001,1,10,3,99.94897959,68.87159533,,,
0.001,10,10,3,99.94897959,68.87159533,,,
0.001,0.001,10,4,99.03061224,68.6770428,,,
0.001,0.01,10,4,99.94897959,68.87159533,,,
0.001,0.1,10,4,99.94897959,68.87159533,,,
0.001,1,10,4,99.94897959,68.87159533,,,
0.001,100,10,4,99.18367347,68.87159533,,,
0.01,0.001,10,1,93.31632653,66.14785992,,,
0.01,0.01,10,1,99.59183673,65.95330739,,,
0.01,0.1,10,1,99.84693878,65.95330739,,,
0.01,1,10,1,99.94897959,65.95330739,,,
0.01,10,10,1,99.94897959,65.95330739,,,
0.01,100,10,1,99.94897959,65.95330739,,,
0.01,0.001,10,2,97.39795918,67.70428016,,,
0.01,0.01,10,2,99.94897959,68.09338521,,,
0.01,0.1,10,2,99.94897959,68.09338521,,,
0.01,1,10,2,99.94897959,68.09338521,,,
0.01,10,10,2,99.94897959,68.09338521,,,
0.01,100,10,2,99.94897959,68.09338521,,,
0.01,0.001,10,3,98.62244898,68.48249027,,,
0.01,0.01,10,3,99.94897959,68.87159533,,,
0.01,0.1,10,3,99.94897959,68.87159533,,,
0.01,1,10,3,99.94897959,68.87159533,,,
0.01,10,10,3,99.94897959,68.87159533,,,
0.01,100,10,3,99.3877551,69.64980545,,,
0.01,0.001,10,4,99.03061224,68.6770428,,,
0.01,0.01,10,4,99.94897959,68.87159533,,,
0.01,0.1,10,4,99.94897959,68.87159533,,,
0.01,1,10,4,99.94897959,68.87159533,,,
0.1,0.001,10,1,93.31632653,66.14785992,,,
0.1,0.01,10,1,99.59183673,65.95330739,,,
0.1,0.1,10,1,99.84693878,65.95330739,,,
0.1,1,10,1,99.94897959,65.95330739,,,
0.1,10,10,1,99.94897959,65.95330739,,,
0.1,100,10,1,99.94897959,65.95330739,,,
0.1,0.001,10,2,97.80612245,67.12062257,,,
0.1,0.01,10,2,99.94897959,68.09338521,,,
0.1,0.1,10,2,99.94897959,68.09338521,,,
0.1,1,10,2,99.94897959,68.09338521,,,
0.1,10,10,2,99.94897959,68.09338521,,,
0.1,100,10,2,99.94897959,68.09338521,,,
0.1,0.001,10,3,99.03061224,68.48249027,,,
0.1,0.01,10,3,99.94897959,68.87159533,,,
0.1,0.1,10,3,99.94897959,68.87159533,,,
0.1,1,10,3,99.94897959,68.87159533,,,
0.1,10,10,3,99.94897959,68.87159533,,,
0.1,100,10,3,99.43877551,69.06614786,,,
0.1,0.001,10,4,99.23469388,68.87159533,,,
0.1,0.01,10,4,99.94897959,68.87159533,,,
0.1,0.1,10,4,99.94897959,68.87159533,,,
0.1,1,10,4,99.94897959,68.87159533,,,
0.1,10,10,4,99.03061224,68.87159533,,,
0.1,100,10,4,99.18367347,68.87159533,,,
1,0.001,10,1,93.31632653,66.14785992,,,
1,0.01,10,1,99.59183673,65.95330739,,,
1,0.1,10,1,99.84693878,65.95330739,,,
1,1,10,1,99.94897959,65.95330739,,,
1,10,10,1,99.94897959,65.95330739,,,
1,100,10,1,99.94897959,65.95330739,,,
1,0.001,10,2,99.13265306,66.53696498,,,
1,0.01,10,2,99.94897959,67.89883268,,,
1,0.1,10,2,99.94897959,68.09338521,,,
1,1,10,2,99.94897959,68.09338521,,,
1,10,10,2,99.94897959,68.09338521,,,
1,100,10,2,99.94897959,68.09338521,,,
1,0.001,10,3,99.64285714,67.50972763,,,
1,0.01,10,3,99.94897959,68.48249027,,,
1,0.1,10,3,99.94897959,68.87159533,,,
1,1,10,3,99.94897959,68.87159533,,,
1,10,10,3,99.94897959,68.87159533,,,
1,100,10,3,99.48979592,69.06614786,,,
1,0.001,10,4,99.74489796,68.09338521,,,
1,0.01,10,4,99.94897959,68.6770428,,,
1,0.1,10,4,99.94897959,68.87159533,,,
1,1,10,4,99.94897959,68.87159533,,,
1,100,10,4,99.18367347,68.87159533,,,
10,0.001,10,1,93.31632653,66.14785992,,,
10,0.01,10,1,99.59183673,65.95330739,,,
10,0.1,10,1,99.84693878,65.95330739,,,
10,1,10,1,99.94897959,65.95330739,,,
10,10,10,1,99.94897959,65.95330739,,,
10,100,10,1,99.94897959,65.95330739,,,
10,0.001,10,2,99.74489796,65.56420233,,,
10,0.01,10,2,99.94897959,66.53696498,,,
10,0.1,10,2,99.94897959,67.89883268,,,
10,1,10,2,99.94897959,68.09338521,,,
10,10,10,2,99.94897959,68.09338521,,,
10,100,10,2,99.94897959,68.09338521,,,
10,0.001,10,3,99.94897959,65.95330739,,,
10,0.01,10,3,99.94897959,67.70428016,,,
10,0.1,10,3,99.94897959,68.48249027,,,
10,1,10,3,99.94897959,68.87159533,,,
10,10,10,3,99.94897959,68.87159533,,,
10,0.001,10,4,99.94897959,65.95330739,,,
10,0.01,10,4,99.94897959,68.28793774,,,
10,0.1,10,4,99.94897959,68.6770428,,,
10,1,10,4,99.94897959,68.87159533,,,
10,10,10,4,98.97959184,68.6770428,,,
100,0.001,10,1,93.31632653,66.14785992,,,
100,0.01,10,1,99.59183673,65.95330739,,,
100,0.1,10,1,99.84693878,65.95330739,,,
100,1,10,1,99.94897959,65.95330739,,,
100,10,10,1,99.94897959,65.95330739,,,
100,100,10,1,99.94897959,65.95330739,,,
100,0.001,10,2,99.94897959,65.95330739,,,
100,0.01,10,2,99.94897959,65.75875486,,,
100,0.1,10,2,99.94897959,66.53696498,,,
100,1,10,2,99.94897959,67.89883268,,,
100,10,10,2,99.94897959,68.09338521,,,
100,100,10,2,99.94897959,68.09338521,,,
100,0.001,10,3,99.94897959,65.95330739,,,
100,0.01,10,3,99.94897959,65.95330739,,,
100,0.1,10,3,99.94897959,67.70428016,,,
100,1,10,3,99.94897959,68.48249027,,,
100,10,10,3,99.94897959,68.87159533,,,
100,0.001,10,4,99.94897959,65.75875486,,,
100,0.01,10,4,99.94897959,65.95330739,,,
100,0.1,10,4,99.94897959,68.28793774,,,
100,1,10,4,99.94897959,68.6770428,,,
100,10,10,4,98.92857143,69.26070039,,,
0.001,0.001,100,1,99.59183673,65.95330739,,,
0.001,0.01,100,1,99.84693878,65.95330739,,,
0.001,0.1,100,1,99.94897959,65.95330739,,,
0.001,1,100,1,99.94897959,65.95330739,,,
0.001,10,100,1,99.94897959,65.95330739,,,
0.001,100,100,1,99.94897959,65.95330739,,,
0.001,0.001,100,2,99.74489796,67.89883268,,,
0.001,0.01,100,2,99.94897959,68.09338521,,,
0.001,0.1,100,2,99.94897959,68.09338521,,,
0.001,1,100,2,99.94897959,68.09338521,,,
0.001,10,100,2,99.94897959,68.09338521,,,
0.001,100,100,2,99.94897959,68.09338521,,,
0.001,0.001,100,3,99.74489796,68.48249027,,,
0.001,0.01,100,3,99.94897959,68.87159533,,,
0.001,0.1,100,3,99.94897959,68.87159533,,,
0.001,1,100,3,99.94897959,68.87159533,,,
0.001,10,100,3,99.94897959,68.87159533,,,
0.001,0.001,100,4,99.79591837,68.48249027,,,
0.001,0.01,100,4,99.94897959,68.87159533,,,
0.001,0.1,100,4,99.94897959,68.87159533,,,
0.001,1,100,4,99.94897959,68.87159533,,,
0.001,100,100,4,99.18367347,68.87159533,,,
0.01,0.001,100,1,99.59183673,65.95330739,,,
0.01,0.01,100,1,99.84693878,65.95330739,,,
0.01,0.1,100,1,99.94897959,65.95330739,,,
0.01,1,100,1,99.94897959,65.95330739,,,
0.01,10,100,1,99.94897959,65.95330739,,,
0.01,100,100,1,99.94897959,65.95330739,,,
0.01,0.001,100,2,99.74489796,67.89883268,,,
0.01,0.01,100,2,99.94897959,68.09338521,,,
0.01,0.1,100,2,99.94897959,68.09338521,,,
0.01,1,100,2,99.94897959,68.09338521,,,
0.01,10,100,2,99.94897959,68.09338521,,,
0.01,100,100,2,99.94897959,68.09338521,,,
0.01,0.001,100,3,99.74489796,68.48249027,,,
0.01,0.01,100,3,99.94897959,68.87159533,,,
0.01,0.1,100,3,99.94897959,68.87159533,,,
0.01,1,100,3,99.94897959,68.87159533,,,
0.01,10,100,3,99.94897959,68.87159533,,,
0.01,100,100,3,98.87755102,68.87159533,,,
0.01,0.001,100,4,99.79591837,68.28793774,,,
0.01,0.01,100,4,99.94897959,68.87159533,,,
0.01,0.1,100,4,99.94897959,68.87159533,,,
0.01,1,100,4,99.94897959,68.87159533,,,
0.1,0.001,100,1,99.59183673,65.95330739,,,
0.1,0.01,100,1,99.84693878,65.95330739,,,
0.1,0.1,100,1,99.94897959,65.95330739,,,
0.1,1,100,1,99.94897959,65.95330739,,,
0.1,10,100,1,99.94897959,65.95330739,,,
0.1,100,100,1,99.94897959,65.95330739,,,
0.1,0.001,100,2,99.74489796,67.70428016,,,
0.1,0.01,100,2,99.94897959,68.09338521,,,
0.1,0.1,100,2,99.94897959,68.09338521,,,
0.1,1,100,2,99.94897959,68.09338521,,,
0.1,10,100,2,99.94897959,68.09338521,,,
0.1,100,100,2,99.94897959,68.09338521,,,
0.1,0.001,100,3,99.79591837,68.28793774,,,
0.1,0.01,100,3,99.94897959,68.87159533,,,
0.1,0.1,100,3,99.94897959,68.87159533,,,
0.1,1,100,3,99.94897959,68.87159533,,,
0.1,10,100,3,99.94897959,68.87159533,,,
0.1,100,100,3,98.87755102,68.6770428,,,
0.1,0.001,100,4,99.84693878,68.09338521,,,
0.1,0.01,100,4,99.94897959,68.87159533,,,
0.1,0.1,100,4,99.94897959,68.87159533,,,
0.1,1,100,4,99.94897959,68.87159533,,,
0.1,10,100,4,98.62244898,68.87159533,,,
0.1,100,100,4,99.18367347,68.87159533,,,
1,0.001,100,1,99.59183673,65.95330739,,,
1,0.01,100,1,99.84693878,65.95330739,,,
1,0.1,100,1,99.94897959,65.95330739,,,
1,1,100,1,99.94897959,65.95330739,,,
1,10,100,1,99.94897959,65.95330739,,,
1,100,100,1,99.94897959,65.95330739,,,
1,0.001,100,2,99.79591837,66.14785992,,,
1,0.01,100,2,99.94897959,67.89883268,,,
1,0.1,100,2,99.94897959,68.09338521,,,
1,1,100,2,99.94897959,68.09338521,,,
1,10,100,2,99.94897959,68.09338521,,,
1,100,100,2,99.94897959,68.09338521,,,
1,0.001,100,3,99.89795918,67.70428016,,,
1,0.01,100,3,99.94897959,68.48249027,,,
1,0.1,100,3,99.94897959,68.87159533,,,
1,1,100,3,99.94897959,68.87159533,,,
1,10,100,3,99.94897959,68.87159533,,,
1,100,100,3,98.87755102,68.6770428,,,
1,0.001,100,4,99.94897959,68.28793774,,,
1,0.01,100,4,99.94897959,68.6770428,,,
1,0.1,100,4,99.94897959,68.87159533,,,
1,1,100,4,99.94897959,68.87159533,,,
1,100,100,4,99.18367347,68.87159533,,,
10,0.001,100,1,99.59183673,65.95330739,,,
10,0.01,100,1,99.84693878,65.95330739,,,
10,0.1,100,1,99.94897959,65.95330739,,,
10,1,100,1,99.94897959,65.95330739,,,
10,10,100,1,99.94897959,65.95330739,,,
10,100,100,1,99.94897959,65.95330739,,,
10,0.001,100,2,99.94897959,65.75875486,,,
10,0.01,100,2,99.94897959,66.53696498,,,
10,0.1,100,2,99.94897959,67.89883268,,,
10,1,100,2,99.94897959,68.09338521,,,
10,10,100,2,99.94897959,68.09338521,,,
10,100,100,2,99.94897959,68.09338521,,,
10,0.001,100,3,99.94897959,65.95330739,,,
10,0.01,100,3,99.94897959,67.70428016,,,
10,0.1,100,3,99.94897959,68.48249027,,,
10,1,100,3,99.94897959,68.87159533,,,
10,10,100,3,99.94897959,68.6770428,,,
10,0.001,100,4,99.94897959,65.95330739,,,
10,0.01,100,4,99.94897959,68.28793774,,,
10,0.1,100,4,99.94897959,68.6770428,,,
10,1,100,4,99.94897959,68.87159533,,,
10,10,100,4,98.62244898,68.87159533,,,
100,0.001,100,1,99.59183673,65.95330739,,,
100,0.01,100,1,99.84693878,65.95330739,,,
100,0.1,100,1,99.94897959,65.95330739,,,
100,1,100,1,99.94897959,65.95330739,,,
100,10,100,1,99.94897959,65.95330739,,,
100,100,100,1,99.94897959,65.95330739,,,
100,0.001,100,2,99.94897959,65.95330739,,,
100,0.01,100,2,99.94897959,65.75875486,,,
100,0.1,100,2,99.94897959,66.53696498,,,
100,1,100,2,99.94897959,67.89883268,,,
100,10,100,2,99.94897959,68.09338521,,,
100,100,100,2,99.94897959,68.09338521,,,
100,0.001,100,3,99.94897959,65.95330739,,,
100,0.01,100,3,99.94897959,65.95330739,,,
100,0.1,100,3,99.94897959,67.70428016,,,
100,1,100,3,99.94897959,68.48249027,,,
100,10,100,3,99.94897959,68.87159533,,,
100,0.001,100,4,99.94897959,65.75875486,,,
100,0.01,100,4,99.94897959,65.95330739,,,
100,0.1,100,4,99.94897959,68.28793774,,,
100,1,100,4,99.94897959,68.6770428,,,
100,10,100,4,98.46938776,68.87159533,,,
